generation,id,novelty,score,species,parent1,parent2
241,118007,12.041385557968946,0.7623743085760752,7,117515,117074
242,118271,12.028595207054222,0.7616830303074593,9,117901,117901
243,118998,10.563007127717466,0.7590956796878782,3,118591,118600
244,119664,11.290689374835917,0.7582620236530788,10,108853,118811
245,120004,14.73130393056999,0.7600034546479172,7,119292,119461
246,120419,9.504607288762038,0.7605072394137982,7,119982,119986
247,120909,13.789265565043921,0.7596662642467369,7,119904,120399
248,121385,11.122950114776824,0.7526674208448674,7,120899,120395
249,121815,29.26239240967502,0.7466985288229789,11,109863,93194
250,122573,14.96440046599882,0.7486814109335944,3,121983,122005
251,122891,12.45487865395724,0.7557957032542402,7,122415,122390
252,123214,11.273945079546198,0.75361569587822,10,122141,123073
253,123794,15.065161281050113,0.7506591284838292,7,122420,123336
254,124209,14.628846459973692,0.7586065277061057,12,123631,123671
255,124739,6.203523827597608,0.7611431511035777,12,124150,124170
256,125444,15.339526632296296,0.7542692310533825,10,111053,124958
257,125788,12.244376307010201,0.7581790251867164,11,125326,125208
258,126473,12.564891188336864,0.7598132118947297,7,125898,125831
259,126641,16.68520074643989,0.7614877036259412,9,126037,125718
260,126641,9.30281778247237,0.7614877036259412,12,126037,125718
261,127537,6.762165967580139,0.7584014028285877,12,127114,127124
262,128139,9.38364969489963,0.7608185311043767,10,127764,126371
263,128682,11.31504920038354,0.755693401053804,10,128180,128155
264,129178,13.254912589329768,0.7574334823187296,10,128621,128464
265,129692,4.2807273031000275,0.7611446396007112,10,128934,129144
266,129914,6.03744556909697,0.7624638842235669,13,129437,129437
267,130523,10.675300737200695,0.7593469548715709,11,129570,129974
268,130916,7.125218608286075,0.7613919691410701,10,130151,130475
269,131475,14.277924922051287,0.7615016864322143,9,130675,131082
270,132175,13.700695833463124,0.7614852149331292,14,131734,131693
271,132488,6.635906705503486,0.7607567813246733,10,131881,131866
272,132835,10.991735831184826,0.7606634080230282,13,132357,131891
273,133327,9.949276647242387,0.7605700781470254,13,132822,132822
274,133810,5.660532508253363,0.7607281964222886,13,132822,133340
275,134347,5.2777223958858,0.7615383537462588,13,133309,133309
276,135001,5.34984806711174,0.7609787044759054,13,134360,134363
277,135709,9.071745769950102,0.7602327453195252,11,131796,135189
278,136155,12.259099735530642,0.7624579234835076,11,135682,135692
279,136633,7.7452828939591045,0.762628253677256,11,136206,135689
280,137113,12.802326718908171,0.7596208999088936,13,136611,136570
281,137498,11.671462843283402,0.7591168278171021,14,136931,137015
282,137712,8.840113834288731,0.7606504921803503,10,137244,137233
283,138184,16.489264999153296,0.754197147526195,10,137228,137717
284,138871,6.901536074047383,0.7617379032995613,15,138492,138514
285,139602,12.4653249660659,0.7608982270576432,11,131004,139106
286,139672,11.441513213365075,0.7581990666264523,10,139154,139153
287,140557,12.027369667591522,0.7606772907341961,11,140043,140028
288,140612,10.30161089939622,0.7611471526507715,10,140165,140152
289,141197,14.699116794372332,0.7519979513228112,10,140625,140152
290,141975,7.084621789275578,0.7615360092917731,11,141499,131004
291,142266,6.922113225824369,0.7613069115135676,9,141662,141662
292,142952,11.447714609232102,0.7615480454089055,11,142489,131004
293,143451,10.199969958030957,0.7619921389393512,11,131004,142952
294,143947,11.885442887123643,0.76005589598817,11,143468,143468
295,144000,9.362766062853,0.7601243683051131,10,143634,143643
296,144541,5.8409256850511415,0.7615953189718608,10,143987,144025
297,145397,12.671386443679223,0.761175593458162,11,144937,131004
